seller_key,seller_id,seller_zip_code_prefix,seller_city,seller_state,lat,lng
1,3442f8959a84dea7ee197c632cb2df15,13023,campinas,SP,-22.893317190455804,-47.060596205366885
2,d1b65fc7debc3361ea86b5f14c68d2e2,13844,mogi guacu,SP,-22.381828013486405,-46.94822435315409
3,ce3ad9de960102d0677a81f5d0bb7b2d,20031,rio de janeiro,RJ,-22.90944638719964,-43.18023952743163
4,c0f3eea2e14555b6faeea3dd58c1b1c3,4195,sao paulo,SP,-23.65711137374736,-46.61255565443634
5,51a04a8a6bdcb23deccc82b0b80742cf,12914,braganca paulista,SP,-22.96485705077535,-46.53408008397754
6,c240c4061717ac1806ae6ee72be3533b,20920,rio de janeiro,RJ,-22.89542015318976,-43.23034709706914
7,e49c26c3edfa46d227d5121a6b6e4d37,55325,brejao,PE,,
8,1b938a7ec6ac5061a66a3766e0e75f90,16304,penapolis,SP,-21.436868237358755,-50.07688367496227
9,768a86e36ad6aae3d03ee3c6433d61df,1529,sao paulo,SP,-23.56838237450652,-46.63441722731638
10,ccc4bbb5f32a6ab2b7066a4130f114e3,80310,curitiba,PR,-25.456890207293227,-49.309771575335844
11,8cb7c5ddf41f4d506eba76e9a4702a25,75110,anapolis,GO,-16.33411083162137,-48.94050973926072
12,a7a9b880c49781da66651ccf4ba9ac38,13530,itirapina,SP,-22.251861673447728,-47.813852095746974
13,8bd0f31cf0a614c658f6763bd02dea69,1222,sao paulo,SP,-23.54595761550723,-46.64950086074065
14,05a48cc8859962767935ab9087417fbb,5372,sao paulo,SP,-23.582442833300615,-46.76284862189659
15,7b8e8ec35bad4b0ef7e3963650b0a87b,88705,tubarao,SC,-28.47825867213469,-48.995800007093465
16,1444c08e64d55fb3c25f0f09c07ffcf2,42738,lauro de freitas,BA,-12.893814632133868,-38.33893569150663
17,166e8f1381e09651983c38b1f6f91c11,88780,imbituba,SC,-28.232438311255255,-48.68022343405556
18,e38db885400cd35c71dfd162f2c1dbcf,70740,brasilia,DF,-15.76837121663822,-47.89101786983668
19,d2e753bb80b7d4faa77483ed00edc8ca,45810,porto seguro,BA,-16.43232499979149,-39.0762041372904
20,f9ec7093df3a7b346b7bcf7864069ca3,5138,sao paulo,SP,-23.48492120993193,-46.73397150079088
21,4e6015589b781adaa5ce7f1892d06bb1,11440,guaruja,SP,-23.983360999182345,-46.24008107172215
22,4cf490a58259286ada5ba8525ba9e84a,14910,tabatinga,SP,-21.73706334787352,-48.68756876841966
23,f7496d659ca9fdaf323c0aae84176632,4156,sao paulo,SP,-23.632121593263317,-46.62243657685899
24,2ff97219cb8622eaf3cd89b7d9c09824,13320,salto,SP,-23.202662995615682,-47.29578408617384
25,8bd0e3abda539b9479c4b44a691be1ec,98910,tres de maio,RS,-27.776201085790955,-54.235535053991825
26,2a1348e9addc1af5aaa619b1a3679d6b,30494,belo horizonte,MG,-19.961548127759368,-43.96057568929279
27,2078fe5066350e7d220c0ad3a3bbc6c1,86707,arapongas,PR,-23.42476867030219,-51.43381503676828
28,116ccb1a1604bc88e4d234a8c23f33de,9850,sao bernardo do campo,SP,-23.725705063160987,-46.58185771007283
29,430315b7bb4b6e4b3c978f9dfa9b0558,4857,sao paulo,SP,-23.758050637439784,-46.688854008651646
30,406822777a0b9eb5c50e442dd4cd3ec5,18500,tatui,SP,,
31,4dbd95a08b31ede5c82d3f861cb1ce1a,80210,curitiba,PR,-25.440710888223585,-49.24556280243908
32,e9e446d01bd10a97a8ffcfc4a3a20cb2,2261,sao paulo,SP,-23.467372511682196,-46.57692511163323
33,d52cbce9845184537284a23c3bc3da0e,88495,garopaba,SC,-28.035429505504453,-48.627746848555816
34,d9a84e1403de8da0c3aa531d6d108ba6,3562,sao paulo,SP,-23.544886969205766,-46.496659439690646
35,9c690ceacd5c66731bf443ea810195cb,37650,camanducaia,MG,-22.755744824598306,-46.139547096377036
36,1f9ab4708f3056ede07124aad39a2554,17602,tupa,SP,-21.93063099014585,-50.49784701997453
37,1961c3e1272bfeceb05d0b78b5bbfdaf,7241,guarulhos,SP,-23.44594904509472,-46.42684053090227
38,d3e7d37c0df9aef383f3f2a15b0dddfb,83050,sao jose dos pinhais,PR,-25.499619452696322,-49.17707884158013
39,ec2e006556300a79a5a91e4876ab3a56,3445,sao paulo,SP,-23.548725069530875,-46.52875521981004
40,b2a6d334e2833acea353624840e25a0e,4133,sao paulo,SP,-23.619507886950025,-46.61863791192781
41,d3674f271c91f824f82d24d92011f669,72233,brasilia,DF,-15.84811496096398,-48.112617930849275
42,768de2a4fc06aacecb9a586ccc30746a,70645,brasilia,DF,-15.781830393220426,-47.93387023968693
43,a81466620e46a6970b22ef40379fdfc9,88730,sao ludgero,SC,-28.328913670959444,-49.17618761232856
44,5c030029b5916fed0986310385ec9009,88075,sao jose,SC,,
45,c0f783394e37cd9c9d7f5f81141450fa,13416,piracicaba,SP,-22.717046078978772,-47.64028299007764
46,c353f8fc0ce8344999f17d578eb69a5e,90850,porto alegre,RS,-30.066216605201816,-51.225582085787586
47,8444e55c1f13cd5c179851e5ca5ebd00,37584,congonhal,MG,-21.83936279474967,-45.61496356662735
48,28a26ebce31d5918b181ede016fd693b,31950,belo horizonte,MG,-19.867601122003006,-43.899454552007455
49,41ab63a91b8b264e8c8780368bf1dd5b,31555,belo horizonte,MG,-19.841326725265677,-43.97985453595453
50,8759e7aedd644f487315e5860962f162,9251,santo andre,SP,-23.630423546452988,-46.50736113251415
51,e546117ed9cafbc40239c0c78635c584,4705,sao paulo,SP,-23.62149777548123,-46.694834685759766
52,d71d863e5ef30d94e440c11be17dcd8f,6144,osasco,SP,-23.566868075187305,-46.80083878253548
53,0c7533c71df861ec58ad7ff999ed0e8d,13270,valinhos,SP,-22.975237608949396,-47.002177170435644
54,ef990a83bbea832f36ebe81376335aa8,89214,joinville,SC,-26.32835418026608,-48.88006606030897
55,41e0fa5761c886a630994a55c12087e7,11446,guaruja,SP,-23.943974988732368,-46.19489262171689
56,0747d5bb69f0586cc869d8af4c50f93e,28990,saquarema,RJ,-22.923310452060637,-42.50373552036917
57,7d294cf9a6a69dc6a0c3e540fff0e039,88390,barra velha,SC,-26.659851823909243,-48.68900082491744
58,c89cf7c468a48af70aada384e722f9e2,25730,petropolis,RJ,-22.418997217136315,-43.130792710369555
59,b7ba853e9551f4558440881fd3e5c815,95500,santo antonio da patrulha,RS,-29.8300238289102,-50.52019181088073
60,13c2ed7698b3ca92dad49e849219da59,84010,ponta grossa,PR,-25.09419479376675,-50.16095107518057
61,cbbd5ae8f53de5f5097cd8217b529e24,6544,santana de parnaiba,SP,-23.464114475023383,-46.84658977829263
62,02ecc2a19303f05e59ce133fd923fff7,9121,santo andre,SP,-23.681611393286104,-46.50118008597532
63,c013e57c075a06e5b5c48ee03c525719,13568,sao carlos,SP,-22.005763186975525,-47.855620543544035
64,55f7a3319d80f7fdf078b8f03e6725fe,6056,osasco,SP,-23.566955685986393,-46.788367270084976
65,2d50d6282f8aa2257819a77bfaa0efe0,14940,ibitinga,SP,-21.757225105309477,-48.82954113566027
66,b7e1750c1157341d2abd0251e07c186b,5741,sao paulo,SP,-23.610716314489373,-46.74788789266905
67,b90e891671cffd9557f33a97dc523645,83010,sao jose dos pinhais,PR,-25.542554560202504,-49.18227031520398
68,a416b6a846a11724393025641d4edd5e,3702,sao paulo,SP,-23.515891988156255,-46.54752258122931
69,7e93a43ef30c4f03f38b393420bc753a,6429,barueri,SP,-23.48985874683891,-46.95318164119193
70,5206cc4bc2297c833e6061c49bf9c43f,6192,osasco,SP,-23.52775069712352,-46.80206509671304
71,f410c8873029fcc3809b9df6d0b28914,95076,caxias do sul,SP,,
72,ef506c96320abeedfb894c34db06f478,3569,sao paulo,SP,-23.543143411858768,-46.490138111733394
73,a13aaf2d2886ab9fb30fb9a920160b8f,89207,joinville,SC,-26.322873156178794,-48.82978241448117
74,7299e27ed73d2ad986de7f7c77d919fa,38440,araguari,MG,-18.652750140819958,-48.19225417884324
75,8a9260f2b0340411d6d2a56bcf4f7378,32180,contagem,MG,-19.867847334430383,-44.03082447237009
76,dedcab67899479e4ea5dcc4eba47f587,89258,jaragua do sul,SC,-26.491538441739202,-49.0525822210583
77,b2479f944e1b90cf8a5de1bbfde284d6,14940,ibitinga,SP,-21.757225105309477,-48.82954113566027
78,7722b1df1b0e383e000397b2c11e3e19,9715,sao bernardo do campo,SP,-23.71518810408496,-46.545936424806605
79,731ef20c231d9a7103a425e83fd91271,88501,lages - sc,SC,,
80,78813699ffac347fe27dba345a5f1551,95711,bento goncalves,RS,,
81,3296662b1331dea51e744505065ae889,15805,catanduva,SP,-21.12269854089015,-48.96345173265747
82,411f3b52d857390502ee4e4d5ceabc2d,9400,ribeirao pires,SP,-23.711629491177572,-46.41240377359159
83,bba3293d6f5d5af2f415e004e8b93ae3,4726,sao paulo,SP,-23.636787761622976,-46.712347369157925
84,4e7c18b98d84e05cbae3ff0ff03846c2,14882,jaboticabal,SP,-21.24585439841629,-48.31802029773208
85,b56906f7fd1696e043f1bcce164c487b,19830,echapora,SP,-22.42996769973875,-50.205359500684644
86,d650b663c3b5f6fb392b6326366efa9a,6713,cotia,SP,-23.62696161519438,-46.86795965406048
87,669ae81880e08f269a64487cfb287169,89160,rio do sul,SC,-27.214976573187975,-49.63785341695686
88,c2d70ce2c5d0a2eb75e78668236e6dc8,4275,sao paulo,SP,-23.593782436927764,-46.6163687560303
89,674207551483fec113276b67b0d871ff,18040,sorocaba,SP,-23.50558801312256,-47.469820367393346
